PropertyType,PropertyGroup,Property,Description
FieldMeasurement,CUTANS,CUTAN_DISTINCT,Distinctness of cutan p183
FieldMeasurement,DISTURBANCES,DIST_TYPE,Disturbance of site p128
FieldMeasurement,ELEM_GEOMORPHS,AGENCY_CODE,Agency identifier
FieldMeasurement,ELEM_GEOMORPHS,EGM_MODE,Element mode of geomorphological  activity p29
FieldMeasurement,ELEM_GEOMORPHS,EGM_AGENT,Element geomorphological agent p30
FieldMeasurement,FABRICS,AGENCY_CODE,Agency identifier
FieldMeasurement,FABRICS,FAB_TYPE,Fabric type p181
FieldMeasurement,FABRICS,FAB_ABUN,Fabric abundance
FieldMeasurement,HORIZONS,AGENCY_CODE,Agency identifier
FieldMeasurement,HORIZONS,H_DESIG_MASTER,Master horizon designation  e.g. A1  B2 p148
FieldMeasurement,HORIZONS,H_DESIG_SUFFIX,Horizon suffix  e.g.  b  c  d
FieldMeasurement,HORIZONS,H_TEXTURE,Field texture (mineral soils)  including modifiers p161
FieldMeasurement,HORIZONS,H_TEXTURE_QUAL,Field texture qualification
FieldMeasurement,HORIZONS,H_SOIL_WATER_STAT,Soil water status p186
FieldMeasurement,HORIZONS,H_STICKINESS,Consistence  stickiness
FieldMeasurement,HORIZONS,H_PLASTICITY_TYPE,Consistence  type of plasticity p188
FieldMeasurement,HORIZONS,H_PLASTICITY_DEG,Consistence  degree of plasticity p188
FieldMeasurement,HORIZONS,H_WATER_REPELLENCE,Water repellence p191
FieldMeasurement,HORIZONS,H_CARBONATE_EFF,Effervescence of carbonate in fine earth p198
FieldMeasurement,HORIZONS,H_BOUND_DISTINCT,Distinctness of boundary between horizons p199
FieldMeasurement,HORIZONS,H_BOUND_SHAPE,Shape of boundary between horizons p200
FieldMeasurement,HORIZONS,H_PERMEABILITY,Soil water regime  permeability p200
FieldMeasurement,HORIZONS,H_NOTES,Free text notes
FieldMeasurement,LAND_COVER,LCOV_DATE,Date land cover observed ddmmyyyy
FieldMeasurement,LAND_COVER,LCOV_REF,Land cover reference e.g. FAO Land Cover
FieldMeasurement,LAND_COVER,LAND_COVER,Land cover code
FieldMeasurement,LAND _USES,LUSE_DATE,Date land use observed or started
FieldMeasurement,LAND _USES,LUSE_END_DATE,End date for land use ddmmyyyy
FieldMeasurement,LAND _USES,LUSE_REF,Land use reference e.g. ALUM Version 6
FieldMeasurement,LAND _USES,LAND_USE,Land use code
FieldMeasurement,MICRORELIEFS,MR_TYPE,Type of microrelief p129
FieldMeasurement,MICRORELIEFS,MR_PROP_GILGAI,Proportions of gilgai components p130
FieldMeasurement,MICRORELIEFS,MR_BIOTIC_AGENT,Biotic microrelief (agent) p131
FieldMeasurement,MICRORELIEFS,MR_BIOTIC_COMP,Component of biotic microrelief p133
FieldMeasurement,MOTTLES,MOTT_TYPE,Mottle type p160
FieldMeasurement,MOTTLES,MOTT_ABUN,Mottle abundance p160
FieldMeasurement,MOTTLES,MOTT_SIZE,Mottle size p160
FieldMeasurement,MOTTLES,MOTT_CONTRAST,Mottle contrast p160
FieldMeasurement,MOTTLES,MOTT_HUE_VAL_CHROM,Colour for decode
FieldMeasurement,MOTTLES,MOTT_HUE,Mottle hue p159
FieldMeasurement,MOTTLES,MOTT_MOISTURE_STAT,Mottle colour moisture status
FieldMeasurement,MOTTLES,MOTT_COLOUR,Mottle colour i.e. old colours R
