PropertyType,PropertyGroup,Property,Description
LaboratoryMeasurement,SI,13D2,Acid-extractable soil silicon - ICPAES
LaboratoryMeasurement,NA,14_NR_S,NA
LaboratoryMeasurement,SE,14A1,Saturation extract - filter suction
LaboratoryMeasurement,SE,14A2,Saturation extract - automatic extractor
LaboratoryMeasurement,SE,14A3,"Saturation extract - centrifuge, closed system"
LaboratoryMeasurement,SE,14A4,"Saturation extract - centrifuge, Gillman"
LaboratoryMeasurement,EC,14B1,Electrical conductivity/SE
LaboratoryMeasurement,PH/SE,14C1,pH/SE
LaboratoryMeasurement,BICARB/SE,14D1_BC,Bicarbonate/SE and carbonate/SE - potentiometric titration
LaboratoryMeasurement,BICARB/SE,14D1_BiCar,Bicarbonate/SE - potentiometric titration
LaboratoryMeasurement,CARB/SE,14D1_C,Bicarbonate/SE and carbonate/SE - potentiometric titration
LaboratoryMeasurement,CARBONATES,14D1_Carb,Carbonate/SE - potentiometric titration
LaboratoryMeasurement,BICARB/SE,14D2_BC,Bicarbonate/SE and carbonate/SE - indicator method
LaboratoryMeasurement,BICARB/SE,14D2_BiCar,Bicarbonate/SE  - indicator method
LaboratoryMeasurement,CARB/SE,14D2_C,Bicarbonate/SE and carbonate/SE - indicator method
LaboratoryMeasurement,CARBONATES,14D2_Carb,Carbonate/SE - indicator method
LaboratoryMeasurement,CHLORIDE/SE,14E1,Chloride/SE - potentiometric titration
LaboratoryMeasurement,CHLORIDE/SE,14E2,Chloride/SE - ion chromatography
LaboratoryMeasurement,CHLORIDE/SE,14E2a,Chloride/SE - ion chromatography (chemical suppression of eluent conductivity)
LaboratoryMeasurement,CHLORIDE/SE,14E2b,Chloride/SE - ion chromatography (single column with electronic suppression of eluent conductivity)
LaboratoryMeasurement,CHLORIDE/SE,14E3,Chloride/SE - ICPAES
LaboratoryMeasurement,SULFATE/SE,14F1,Sulfate/SE - ICPAES
LaboratoryMeasurement,SULFATE/SE,14F2,Sulfate/SE - turbidimetric
LaboratoryMeasurement,SULFATE/SE,14F3,Sulfate/SE - gravimetric
LaboratoryMeasurement,SULFATE/SE,14F4,Sulfate/SE - automated colour
LaboratoryMeasurement,SULFATE/SE,14F5,Sulfate/SE - ion chromatography
LaboratoryMeasurement,SULFATE/SE,14F5a,Sulfate/SE - ion chromatography (chemical suppression of eluent conductivity)
LaboratoryMeasurement,SULFATE/SE,14F5b,Sulfate/SE - ion chromatography (single column with electronic suppression of eluent conductivity)
LaboratoryMeasurement,FLUORIDE/SE,14G1,Fluoride/SE - specific ion electrode
LaboratoryMeasurement,FLUORIDE/SE,14G2,Fluoride/SE - ion chromatography
LaboratoryMeasurement,SOL_BASES_CA,14H1_CA,"Soluble bases/SE (Ca,Mg,K,Na)"
LaboratoryMeasurement,SOL_BASES_K,14H1_K,"Soluble bases/SE (Ca,Mg,K,Na)"
LaboratoryMeasurement,SOL_BASES_MG,14H1_MG,"Soluble bases/SE (Ca,Mg,K,Na)"
LaboratoryMeasurement,SOL_BASES_NA,14H1_NA,"Soluble bases/SE (Ca,Mg,K,Na)"
LaboratoryMeasurement,ECEC,15_BASES,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations
LaboratoryMeasurement,CEC,15_HSK_CEC,CEC - meq per 100g of soil - HOSK
LaboratoryMeasurement,ECEC,15_NR,Sum of Ex. cations + Ex. acidity - Not recorded
LaboratoryMeasurement,EXCH_AL,15_NR_AL,Aluminium Cation - meq per 100g of soil - Not recorded
LaboratoryMeasurement,NA,15_NR_BSa,NA
LaboratoryMeasurement,EXCH_BASES_CA,15_NR_CA,Exch. basic cations (Ca++) - meq per 100g of soil - Not recorded
LaboratoryMeasurement,EXCH_BASES_CEC,15_NR_CEC,CEC - meq per 100g of soil - Not recorded
LaboratoryMeasurement,NA,15_NR_CMR,NA
LaboratoryMeasurement,EXCH_H,15_NR_H,Hydrogen Cation - meq per 100g of soil - Not recorded
LaboratoryMeasurement,EXCH_BASES_K,15_NR_K,Exch. basic cations (K++) - meq per 100g of soil - Not recorded
LaboratoryMeasurement,EXCH_BASES_MG,15_NR_MG,Exch. basic cations (Mg++) - meq per 100g of soil - Not recorded
LaboratoryMeasurement,NA,15_NR_MN,NA
LaboratoryMeasurement,EXCH_BASES_NA,15_NR_NA,Exch. basic cations (Na++) - meq per 100g of soil - Not recorded
LaboratoryMeasurement,EXCH_BASES_CA,15A1_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,NA,15A1_Ca_MQ,Exchangeable calcium
LaboratoryMeasurement,NA,15A1_CEC,Exchangeable bases
LaboratoryMeasurement,EXCH_BASES_K,15A1_K,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15A1_MG,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,NA,15A1_Mg_MQ,Exchangeable magnesium
LaboratoryMeasurement,NA,15A1_MN,NA
LaboratoryMeasurement,EXCH_BASES_NA,15A1_NA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CA,15A2_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CEC,15A2_CEC,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_K,15A2_K,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15A2_MG,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_NA,15A2_NA,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CA,15A3_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_CEC,15A3_CEC,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_K,15A3_K,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_MG,15A3_MG,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_NA,15A3_NA,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_CA,15B1_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CEC,15B1_CEC,"CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_K,15B1_K,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15B1_MG,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_NA,15B1_NA,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CA,15B2_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CEC,15B2_CEC,"CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_K,15B2_K,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15B2_MG,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_NA,15B2_NA,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CA,15B3_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_CEC,15B3_CEC,"CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_K,15B3_K,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_MG,15B3_MG,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_NA,15B3_NA,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_CA,15C1_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts"
LaboratoryMeasurement,NA,15C1_Ca_MQ,Exchangeable calcium
LaboratoryMeasurement,EXCH_BASES_CEC,15C1_CEC,"CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_K,15C1_K,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15C1_MG,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts"
LaboratoryMeasurement,NA,15C1_Mg_MQ,Exchangeable magnesium
LaboratoryMeasurement,EXCH_BASES_NA,15C1_NA,"Exchangeable bases and CEC - alcoholic 1M ammonium chloride at pH 8.5, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CA,15C2_CA,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy
LaboratoryMeasurement,NA,15C2_Ca_MQ,Exchangeable calcium - MIR QLD Calibration 1
LaboratoryMeasurement,EXCH_BASES_CEC,15C2_CEC,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy
LaboratoryMeasurement,CEC,15C2_CEC_M,Cation exchange capacity - MIR QLD Calibration 1
LaboratoryMeasurement,EXCH_BASES_MG,15C2_MG,Exchangeable divalent cations and CEC - MIR diffuse reflectance spectroscopy
LaboratoryMeasurement,NA,15C2_Mg_MQ,Exchangeable magnesium - MIR QLD Calibration 1
LaboratoryMeasurement,NA,15D1_AL,NA
LaboratoryMeasurement,EXCH_BASES_CA,15D1_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach"
LaboratoryMeasurement,EXCH_BASES_CEC,15D1_CEC,"CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach"
LaboratoryMeasurement,EXCH_BASES_K,15D1_K,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach"
LaboratoryMeasurement,EXCH_BASES_MG,15D1_MG,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach"
LaboratoryMeasurement,EXCH_BASES_NA,15D1_NA,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; manual leach"
LaboratoryMeasurement,EXCH_BASES_CA,15D2_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor"
LaboratoryMeasurement,EXCH_BASES_CEC,15D2_CEC,"CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; automatic extractor"
LaboratoryMeasurement,EXCH_BASES_K,15D2_K,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic"
LaboratoryMeasurement,EXCH_BASES_MG,15D2_MG,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic"
LaboratoryMeasurement,EXCH_BASES_NA,15D2_NA,"Exchangeable bases and CEC - 1M ammonium acetate at pH 7.0, pretreatment for soluble salts; mautomatic"
LaboratoryMeasurement,EXCH_BASES_CA,15D3_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_K,15D3_K,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15D3_MG,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_NA,15D3_NA,"Exchangeable bases - 1M ammonium acetate at pH 7.0, rapid method with no pretreatment for soluble salts"
LaboratoryMeasurement,NA,15E1,Exchangeable bases
LaboratoryMeasurement,EXCH_BASES_AEC,15E1_AEC,"Exchangeable bases , CEC and AEC by compulsive exchange, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_AL,15E1_AL,"Exchangeable Al - by compulsive exchange, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CA,15E1_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CEC,15E1_CEC,"CEC by compulsive exchange, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_H,15E1_H,"Exchangeable H - by compulsive exchange, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_K,15E1_K,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15E1_MG,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts"
LaboratoryMeasurement,NA,15E1_MN,NA
LaboratoryMeasurement,EXCH_BASES_NA,15E1_NA,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_AEC,15E2_AEC,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CA,15E2_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CEC,15E2_CEC,"CEC by compulsive exchange, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_K,15E2_K,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15E2_MG,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_NA,15E2_NA,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_AEC,15E3_AEC,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_CA,15E3_CA,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_CEC,15E3_CEC,"CEC by compulsive exchange, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_K,15E3_K,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_MG,15E3_MG,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_NA,15E3_NA,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium"
LaboratoryMeasurement,EXCH_BASES_CA,15F1_CA,"Exchangeable bases by 0.01M silver-thiourea (AgTU)+, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_CEC,15F1_CEC,"Exchangeable bases by 0.01m (AgTU)+, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_K,15F1_K,"Exchangeable bases by 0.01m (AgTU)+, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_MG,15F1_MG,"Exchangeable bases by 0.01m (AgTU)+, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_BASES_NA,15F1_NA,"Exchangeable bases by 0.01m (AgTU)+, no pretreatment for soluble salts"
LaboratoryMeasurement,EXCH_AL,15F2,Exchangeable aluminium by 0.01m (AgTU)+
LaboratoryMeasurement,EXCH_AL,15F2_AL,Exchangeable Al (%) - Silver Thiorea
LaboratoryMeasurement,CEC,15F3,CEC by 0.01M silver-thiourea (AgTU)+
LaboratoryMeasurement,EXCH_AL,15F4,Exchangeable aluminium by 1M ammonium acetate (pH5.8). Abdullah and Riley (1966).
LaboratoryMeasurement,EXCH_ACIDITY,15G_C,Exchange acidity (hydrogen and aluminium) - meq per 100g of soil - By 1M KCl exch. acidity by titration to pH 8.4
LaboratoryMeasurement,EXCH_AL,15G_C_AL1,Exchangeable aluminium - meq per 100g of soil - Aluminium By difference of C and A or B
LaboratoryMeasurement,EXCH_AL,15G_C_AL2,Exchangeable aluminium - meq per 100g of soil - Aluminium By KCl extraction and detremination By AAS
LaboratoryMeasurement,EXCH_H,15G_C_H1,Exchangeable hydrogen - meq per 100g of soil - Hydrogen By back titration of A or B
LaboratoryMeasurement,EXCH_H,15G_H,Hydrogen Cation - meq per 100g of soil - 1M KCl Exch. acidity By titration to pH 8.4
LaboratoryMeasurement,EXCH_ACIDITY,15G1,Exchange acidity (hydrogen and aluminium) by 1M potassium chloride
LaboratoryMeasurement,NA,15G1_Acid,Exchange acidity (hydrogen and aluminium) by 1M potassium chloride - Exchange Acidity
LaboratoryMeasurement,EXCH_AL,15G1_AL,Aluminium Cation - meq per 100g of soil - 1M KCl Exch. Acidity By titration to pH 8.0
LaboratoryMeasurement,EXCH_H,15G1_H,Hydrogen Cation - meq per 100g of soil - 1M KCl Exch. Acidity By titration to pH 8.0
LaboratoryMeasurement,NA,15G2,Exch. Al saturation
LaboratoryMeasurement,NA,15G2_Al_MQ,Exchangeable aluminium
LaboratoryMeasurement,EXCH_ACIDITY,15H1,Exchange acidity by TEA
LaboratoryMeasurement,CEC,15I1,CEC measurement - distillation of ammonium ions
LaboratoryMeasurement,CEC,15I2,CEC measurement - automated determination of ammonium ions
LaboratoryMeasurement,CEC,15I3,CEC measurement - automated determination of ammonium and chloride ions
LaboratoryMeasurement,CEC,15I4,CEC measurement - titration of ammonium and chloride ions
LaboratoryMeasurement,BASES,15J_BASES,Sum of Bases
LaboratoryMeasurement,ECEC,15J_H,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations and exch. (Hydrogen)
LaboratoryMeasurement,ECEC,15J1,Effective CEC
LaboratoryMeasurement,ECEC,15J2_MQ02,Effective cation exchange capacity
LaboratoryMeasurement,CEC,15K1,CEC - pH 8.2
LaboratoryMeasurement,BSP,15L1,Base saturation percentage (BSP)
LaboratoryMeasurement,NA,15L1_a,NA
LaboratoryMeasurement,CATION_RATIO,15M1,Cation ratio
LaboratoryMeasurement,CA,15M1_Ca/CE,Calcium to cation exchange capacity ratio
LaboratoryMeasurement,CA/MG,15M1_Ca/Mg,Cation ratio Ca/Mg
LaboratoryMeasurement,NA,15M1_K/CEC,Potassium to cation exchange capacity ratio
LaboratoryMeasurement,NA,15M1_Mg/Ca,Magnesium to calcium ratio
LaboratoryMeasurement,NA,15M1_Mg/CE,Magnesium to cation exchange capacity ratio
LaboratoryMeasurement,MG/K,15M1_Mg/K,Cation ratio Mg/K
LaboratoryMeasurement,NA/K,15M1_Na/K,Cation ratio Na/K
LaboratoryMeasurement,ESP,15N1,Exchangeable sodium percentage (ESP)
LaboratoryMeasurement,NA,15N1_a,NA
LaboratoryMeasurement,NA,15N1_b,NA
LaboratoryMeasurement,AL_SAT,15O1,Percenatge aluminium saturation
LaboratoryMeasurement,CEC/CLAY,15P1,CEC/Clay ratio
LaboratoryMeasurement,NA,15Z1,H
LaboratoryMeasurement,CEC,15Z1_CEC/c,Cation exchange capacity:clay
LaboratoryMeasurement,LIME_RATE,16A1,Calculated lime rate - from exchangeable aluminium
LaboratoryMeasurement,LIME_RATE,16B1,Calculated lime rate - Cregan
LaboratoryMeasurement,LIME_REQ,16C1,Lime requirement - Mehlich single buffer
LaboratoryMeasurement,NA,16C1_5.5,Lime requirement at pH 5.5
LaboratoryMeasurement,NA,16C1_6.0,Lime requirement at pH 6.0
LaboratoryMeasurement,NA,16C1_6.5,Lime requirement at pH 6.5
LaboratoryMeasurement,LIME_REQ,16D1,Lime requirement - Dunn titration curves
LaboratoryMeasurement,POTASSIUM,17A_HF+,Total element - K (%) - HF/HCl04 Digest
LaboratoryMeasurement,POTASSIUM,17A_NR,Total element - K (%) - Not recorded
LaboratoryMeasurement,POTASSIUM,17A1,Total Potassium - X-ray fluorescence
LaboratoryMeasurement,TOTAL_ELEMENTS,17A1_K,Total Potassium - X-ray fluorescence
LaboratoryMeasurement,NA,17A1_K_MQ0,Total potassium - MIR QLD Calibration 1
LaboratoryMeasurement,NA,17A2_Cu,Total element - Cu(mg/kg) - HF/HClO4 Digest
LaboratoryMeasurement,NA,17A2_Fe,Total element - Fe(%) - HF/HClO4 Digest
LaboratoryMeasurement,TOTAL_ELEMENTS,17A2_K,"Total Potassium - microwave assisted digestion, determination by AAS"
LaboratoryMeasurement,NA,17A2_Mn,Total element - Mn(mg/kg) - HF/HClO4 Digest
LaboratoryMeasurement,NA,17A2_Zn,Total element - Zn(mg/kg) - HF/HClO4 Digest
LaboratoryMeasurement,NA,17B1,"0.01M CaCl2 extractable K, ICP"
LaboratoryMeasurement,TOTAL_ELEMENTS,17B1_K,"Psuedo-total Potassium - reverse aqua regia block digestion, determination by AAS"
LaboratoryMeasurement,AL,17B2_Al,Aluminium
LaboratoryMeasurement,AS,17B2_As,Arsenic
LaboratoryMeasurement,CA,17B2_Ca,Calcium
LaboratoryMeasurement,NA,17B2_Co,Cobalt
LaboratoryMeasurement,CR,17B2_Cr,Chromium
LaboratoryMeasurement,NA,17B2_Cu,Copper
LaboratoryMeasurement,NA,17B2_Fe,Iron
LaboratoryMeasurement,TOTAL_ELEMENTS,17B2_K,"Psuedo-total Potassium - reverse aqua regia digestion, determination by atomic spectrometry"
LaboratoryMeasurement,NA,17B2_Mg,Magnesium
LaboratoryMeasurement,NA,17B2_Mn,Manganese
LaboratoryMeasurement,NA,17B2_Mo,Molybdenum
LaboratoryMeasurement,NA,17B2_Na,Sodium
LaboratoryMeasurement,NA,17B2_Ni,Nickel
LaboratoryMeasurement,NA,17B2_P,Phosphorus
LaboratoryMeasurement,NA,17B2_Pb,Lead
LaboratoryMeasurement,NA,17B2_S,Sulphur
LaboratoryMeasurement,NA,17B2_Zn,Zinc
LaboratoryMeasurement,TOTAL_ELEMENTS,17C1_K,"Psuedo-total Potassium - conventional aqua regia block digestion, determination by atomic spectrometry"
LaboratoryMeasurement,NA,17X1_Al,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_As,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Ca,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Co,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Cr,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Cu,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Fe,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_K,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Mg,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Mn,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Mo,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Na,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Ni,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_P,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Pb,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_S,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17X1_Zn,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP
LaboratoryMeasurement,NA,17Z1,Total P
LaboratoryMeasurement,NA,18_NR,NA
LaboratoryMeasurement,POTASSIUM,18A1,Bicarbonate-extractable potassium
LaboratoryMeasurement,NA,18A1_NR,NA
LaboratoryMeasurement,POTASSIUM,18B1,Hydrochloric acid - extractable potassium
LaboratoryMeasurement,POTASSIUM,18B2,Sulfuric acid (10%)- extractable potassium
LaboratoryMeasurement,POTASSIUM,18C1,Boiling 1 M nitric acid  - extractable potassium
LaboratoryMeasurement,CADMIUM,18D1,0.1 M calcium chloride - extractable Cadmium
LaboratoryMeasurement,CADMIUM,18E1,0.01 M calcium chloride - extractable Cadmium
LaboratoryMeasurement,POTASSIUM,18E2,Fluoride-extractable potassium (Bray 1-K) - AAS
LaboratoryMeasurement,AL,18F1_AL,Mehlich 3 - extractable Aluminium
LaboratoryMeasurement,BORON,18F1_B,Mehlich 3 - extractable Boron
LaboratoryMeasurement,CALCIUM,18F1_CA,Mehlich 3 - extractable Calcium
LaboratoryMeasurement,CD,18F1_Cd,Cadmium
LaboratoryMeasurement,CU,18F1_CU,Mehlich 3 - extractable Copper
LaboratoryMeasurement,FE,18F1_FE,Mehlich 3 - extractable Iron
LaboratoryMeasurement,POTASSIUM,18F1_K,Mehlich 3 - extractable Potassium
LaboratoryMeasurement,MG,18F1_MG,Mehlich 3 - extractable Magnesium
LaboratoryMeasurement,MN,18F1_MN,Mehlich 3 - extractable Manganese
LaboratoryMeasurement,NA,18F1_NA,Mehlich 3 - extractable Sodium
LaboratoryMeasurement,PHORPHORUS,18F1_P,Mehlich 3 - extractable Phosporus
LaboratoryMeasurement,SULFUR,18F1_S,Mehlich 3 - extractable Sulfur
LaboratoryMeasurement,ZN,18F1_ZN,Mehlich 3 - extractable Zinc
LaboratoryMeasurement,POTASSIUM,18F2,Mehlich 3 - extractable Potassium - colour finish
LaboratoryMeasurement,POTASSIUM,18G1,Reserve soil K+ by copper-modified sodium tetraphenylboron extraction
LaboratoryMeasurement,CARBONATES,19_COL,Carbonates - Collins Calcimeter
LaboratoryMeasurement,CARBONATES,19A1,Carbonates - rapid titration
LaboratoryMeasurement,CARBONATES,19A2,Acid Neutralizing Capacity - 0.1 M HCl digest & back titration
LaboratoryMeasurement,CARBONATES,19B_NR,Calcium Carbonate (CaCO3) - Not recorded
LaboratoryMeasurement,CARBONATES,19B1,Carbonates - manometric
LaboratoryMeasurement,CARBONATES,19B2,Carbonates - transducer
LaboratoryMeasurement,CARBONATES,19C1,Spot field test for the presence of soil carbonates with dilute HCl
LaboratoryMeasurement,CARBONATES,19D1,Field test for soil carbonates with dilute HCl and effervescence class assessment
